Mes,Dia,Año,Fecha,Número,Tipo de servicio,Situación reportada,area,Fecha de corte,Estado,Orden de trabajo generada,Demora en respuesta,LAT,LNG
1,11,2022,11/01/2022,11523,HABILITACIONES,Falta de habilitación,DIRECCIÓN DE HABILITACIONES,22/06/2022,FINALIZADO,NO,162,-36.945.911,-60.157.852
1,12,2022,12/01/2022,11524,HABILITACIONES,Falta de habilitación,DIRECCIÓN DE HABILITACIONES,12/01/2022,PROCESO,NO,0,-36.937.717,-60.153.397
1,12,2022,12/01/2022,11525,OBRAS PÚBLICAS,Cloacas: pedido de ampliación de red,SUBSECRETARIA DE OBRAS PÚBLICAS,12/01/2022,PROCESO,NO,0,-36.880.405,-60.307.831
1,12,2022,12/01/2022,11526,OBRAS PÚBLICAS,Calles urbanas: pedido de pavimentación de calzada,DIRECCIÓN DE PAVIMENTACIÓN Y CORDÓN CUNETA,12/01/2022,PROCESO,NO,0,-36.885.670,-60.297.031
1,12,2022,12/01/2022,11527,ZOONOSIS,Animales domésticos: sanitariamente descuidados,DIRECCIÓN DE BROMATOLOGIA,14/01/2022,FINALIZADO,NO,2,-36.927.788,-60.315.609
1,12,2022,12/01/2022,11528,"PARQUES, PLAZAS Y ESPACIOS PÚBLICOS",Césped: con falta de mantenimiento o riego,DIRECCIÓN DE MANTENIMIENTO DE PARQUES Y PASEOS,12/01/2022,PROCESO,NO,0,-36.914.665,-60.325.043
1,12,2022,12/01/2022,11529,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio público (veredas),DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,24/01/2022,FINALIZADO,NO,12,-36.916.325,-60.323.200
1,13,2022,13/01/2022,11530,HIGIENE Y CONTROL URBANO,Barrido domiciliario: no hay barrido,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,03/03/2022,FINALIZADO,NO,49,-36.885.963,-60.322.350
1,13,2022,13/01/2022,11531,ZOONOSIS,Control de plagas / fumigación: roedores,DIRECCIÓN DE BROMATOLOGIA,25/3/2022,FINALIZADO,NO,71,-36.875.889,-60.314.873
1,13,2022,13/01/2022,11532,HIGIENE Y CONTROL URBANO,Recolección de residuos domiliciarios: no hay recolección,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,31/01/2022,FINALIZADO,NO,18,-36.908.401,-60.331.413
1,13,2022,13/01/2022,11533,GIRO,Otra situación no contemplada,DIRECCIÓN DE DESARROLLO SUSTENTABLE,13/01/2022,PROCESO,NO,0,-36.908.401,-60.331.413
1,13,2022,13/01/2022,11534,"PARQUES, PLAZAS Y ESPACIOS PÚBLICOS",Césped: con falta de mantenimiento o riego,DIRECCIÓN DE MANTENIMIENTO DE PARQUES Y PASEOS,13/01/2022,PROCESO,NO,0,-36.902.130,-60.340.336
1,13,2022,13/01/2022,11535,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio público (veredas),DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,14/01/2022,FINALIZADO,NO,1,-36.926.331,-60.313.683
1,13,2022,13/01/2022,11536,CONTROL AMBIENTAL,Residuos sólidos comercio: arrojo a vía pública,DIRECCIÓN DE DESARROLLO SUSTENTABLE,18/01/2022,FINALIZADO,NO,5,-36.910.683,-60.323.372
1,13,2022,13/01/2022,11537,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio público (veredas),DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,18/01/2022,FINALIZADO,NO,5,-36.884.296,-60.340.656
1,13,2022,13/01/2022,11538,"PARQUES, PLAZAS Y ESPACIOS PÚBLICOS",Césped: con falta de mantenimiento o riego,DIRECCIÓN DE MANTENIMIENTO DE PARQUES Y PASEOS,13/01/2022,PROCESO,NO,0,-36.893.990,-60.322.533
1,13,2022,13/01/2022,11539,ZOONOSIS,Control de plagas / fumigación: roedores,DIRECCIÓN DE BROMATOLOGIA,24/01/2022,FINALIZADO,NO,11,-36.910.633,-60.325.062
1,13,2022,13/01/2022,11540,ÁRBOLES EN VIA PÚBLICA,Arbolado: pedido de poda en vía pública,DISEÑO DE PARQUES Y ESPACIO PÚBLICO,19/01/2022,PROCESO,NO,6,-36.888.554,-60.319.359
1,14,2022,14/01/2022,11541,CONTROL AMBIENTAL,Agua: arrojo de aguas servidas domiciliarias a la via pública,DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,18/01/2022,FINALIZADO,NO,4,-36.916.889,-60.312.874
1,14,2022,14/01/2022,11542,ZOONOSIS,Animales domésticos: sueltos en la via pública,DIRECCIÓN DE BROMATOLOGIA,17/01/2022,FINALIZADO,NO,3,-36.908.035,-60.326.962
1,14,2022,14/01/2022,11543,ZOONOSIS,Control de plagas / fumigación: roedores,DIRECCIÓN DE BROMATOLOGIA,12/08/2022,FINALIZADO,NO,210,-36.930.328,-60.161.083
1,14,2022,14/01/2022,11544,TRÁNSITO,Estacionamiento: vehículos estacionados en lugar no permitido,DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,24/01/2022,FINALIZADO,NO,10,-36.895.119,-60.339.149
1,14,2022,14/01/2022,11545,ZOONOSIS,Animales domésticos: sanitariamente descuidados,DIRECCIÓN DE BROMATOLOGIA,17/01/2022,FINALIZADO,NO,3,-36.876.987,-60.331.310
1,14,2022,14/01/2022,11546,OBRAS PÚBLICAS,Calles urbanas: calzada de tierra con baches,DIRECCIÓN DE MANTENIMIENTO URBANO,14/01/2022,PROCESO,NO,0,-36.893.650,-60.352.547
1,15,2022,15/01/2022,11547,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio privado (baldío abierto),UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,21/01/2022,PROCESO,NO,6,-36.928.047,-60.295.376
1,17,2022,17/01/2022,11548,OBRAS PARTICULARES,Obra en construcción: invasión de propiedad privada o vía pública,DIRECCIÓN DE OBRAS PARTICULARES,17/01/2022,PROCESO,NO,0,-36.911.934,-60.295.193
1,17,2022,17/01/2022,11549,VIALIDAD,Reductor de velocidad: solicitar nuevo,DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,17/01/2022,PROCESO,NO,0,-36.932.400,-60.165.100
1,17,2022,17/01/2022,11550,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio privado (casa abandonada),UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,19/01/2022,FINALIZADO,NO,2,-36.886.269,-60.310.261
1,17,2022,17/01/2022,11551,"PARQUES, PLAZAS Y ESPACIOS PÚBLICOS",Otra situación no contemplada,DIRECCIÓN DE MANTENIMIENTO DE PARQUES Y PASEOS,17/01/2022,PROCESO,NO,0,-36.914.509,-60.327.465
1,17,2022,17/01/2022,11552,HIGIENE Y CONTROL URBANO,Recolección de residuos domiliciarios: no hay recolección,UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,04/02/2022,FINALIZADO,NO,18,-36.880.383,-60.328.991
1,17,2022,17/01/2022,11553,TRÁNSITO,Otra situación no contemplada,ATENCIÓN OLAVARRIA INTERACTIVA,17/01/2022,CANCELADO,NO,0,-36.886.425,-60.311.340
1,17,2022,17/01/2022,11554,OBRAS PÚBLICAS,Otra situación no contemplada,DIRECCIÓN DE MANTENIMIENTO URBANO,18/01/2022,PROCESO,NO,1,-36.888.504,-60.305.450
1,18,2022,18/01/2022,11555,ZOONOSIS,Animales domésticos: denunciar mordeduras,DIRECCIÓN DE BROMATOLOGIA,19/01/2022,FINALIZADO,NO,1,-36.879.711,-60.180.115
1,18,2022,18/01/2022,11556,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio privado (casa abandonada),UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,18/01/2022,PROCESO,NO,0,-36.881.599,-60.176.479
1,18,2022,18/01/2022,11557,VIALIDAD,Reductor de velocidad: solicitar nuevo,DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,14/10/2022,FINALIZADO,NO,269,-36.876.492,-60.343.609
1,18,2022,18/01/2022,11558,OBRAS PÚBLICAS,Hidráulica: limpieza de boca de tormenta,DIRECCIÓN DE HIDRÁULICA,18/01/2022,PROCESO,NO,0,-36.891.197,-60.315.762
1,18,2022,18/01/2022,11559,OBRAS PÚBLICAS,Hidráulica: limpieza de boca de tormenta,DIRECCIÓN DE HIDRÁULICA,18/01/2022,PROCESO,NO,0,-36.893.597,-60.315.742
1,19,2022,19/01/2022,11560,HIGIENE Y CONTROL URBANO,Recolección de residuos domiliciarios: recolectores ensucian la vía pública,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,28/01/2022,FINALIZADO,NO,9,-36.892.887,-60.333.267
1,19,2022,19/01/2022,11561,CONTROL AMBIENTAL,Agua: arrojo de aguas servidas domiciliarias a la via pública,DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,26/01/2022,FINALIZADO,NO,7,-36.920.872,-60.305.820
1,19,2022,19/01/2022,11562,HIGIENE Y CONTROL URBANO,Recolección de residuos domiliciarios: no hay recolección,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,03/02/2022,FINALIZADO,NO,15,-36.920.872,-60.305.820
1,19,2022,19/01/2022,11563,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio privado (baldío abierto),UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,19/01/2022,PROCESO,NO,0,-36.916.279,-60.322.964
1,19,2022,19/01/2022,11564,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio público (veredas de terrenos cerrados),UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,19/01/2022,PROCESO,NO,0,-36.902.096,-60.295.818
1,19,2022,19/01/2022,11565,ZOONOSIS,Animales no domésticos: crianza inadecuada,DIRECCIÓN DE DESARROLLO AGROPECUARIO,19/01/2022,PROCESO,NO,0,-36.876.846,-60.332.195
1,19,2022,19/01/2022,11566,HIGIENE Y CONTROL URBANO,En estado o inclinación peligrosa: postes (Coopelectric),DIRECCIÓN DE DEFENSA CIVIL,03/01/2023,FINALIZADO,NO,349,-36.879.303,-60.329.327
1,19,2022,19/01/2022,11567,ZOONOSIS,Animales domésticos: denunciar mordeduras,DIRECCIÓN DE BROMATOLOGIA,12/08/2022,FINALIZADO,NO,205,-36.879.711,-60.180.115
1,19,2022,19/01/2022,11568,ZOONOSIS,Animales domésticos: sanitariamente descuidados,DIRECCIÓN DE BROMATOLOGIA,03/02/2022,FINALIZADO,NO,15,-36.908.916,-60.310.680
1,19,2022,19/01/2022,11569,HABILITACIONES,Higiene y limpieza comercial,DIRECCIÓN DE BROMATOLOGIA,21/01/2022,FINALIZADO,NO,2,-36.929.325,-60.294.895
1,19,2022,19/01/2022,11570,HABILITACIONES,Calidad de alimentos: venta de alimentos con fecha caducada,DIRECCIÓN DE BROMATOLOGIA,31/01/2022,FINALIZADO,NO,12,-36.921.028,-60.298.866
1,19,2022,19/01/2022,11571,VIALIDAD,Rampa accesibilidad: obstruida o dañada,DIRECCIÓN DE DESARROLLO URBANO Y OBRAS CIVILES,20/01/2022,PROCESO,NO,1,-36.884.541,-60.313.061
1,19,2022,19/01/2022,11572,HIGIENE Y CONTROL URBANO,Recolección de residuos domiliciarios: no hay recolección,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,21/01/2022,FINALIZADO,NO,2,-36.920.219,-60.292.339
1,20,2022,20/01/2022,11573,HIGIENE Y CONTROL URBANO,Recolección de residuos domiliciarios: no hay recolección,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,14/02/2022,FINALIZADO,NO,25,-36.894.581,-60.317.875
1,20,2022,20/01/2022,11574,ATENCIÓN DEL PERSONAL MUNICIPAL,Otra situación no contemplada,ATENCIÓN OLAVARRIA INTERACTIVA,20/01/2022,CANCELADO,NO,0,-36.895.447,-60.313.824
1,20,2022,20/01/2022,11575,ZOONOSIS,Animales domésticos: sanitariamente descuidados,DIRECCIÓN DE BROMATOLOGIA,28/01/2022,FINALIZADO,NO,8,-36.934.296,-60.159.618
1,20,2022,20/01/2022,11576,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio público (veredas),DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,24/01/2022,FINALIZADO,NO,4,-36.907.951,-60.328.133
1,20,2022,20/01/2022,11577,HIGIENE Y CONTROL URBANO,Recolección de residuos domiliciarios: recolección deficiente,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,25/01/2022,FINALIZADO,NO,5,-36.906.834,-60.321.419
1,21,2022,21/01/2022,11578,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio privado (baldío abierto),UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,21/01/2022,PROCESO,NO,0,-36.945.690,-60.266.312
1,21,2022,21/01/2022,11579,OBRAS PÚBLICAS,Calles urbanas: cordón cuneta dañado,DIRECCIÓN DE MANTENIMIENTO URBANO,21/01/2022,PROCESO,NO,0,-36.886.459,-60.309.746
1,21,2022,21/01/2022,11580,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio público (veredas),DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,31/01/2022,FINALIZADO,NO,10,-36.886.395,-60.310.116
1,21,2022,21/01/2022,11581,OBRAS PÚBLICAS,Calles urbanas: calzada de tierra con baches,DIRECCIÓN DE MANTENIMIENTO URBANO,21/01/2022,PROCESO,NO,0,-36.886.421,-60.358.086
1,21,2022,21/01/2022,11582,OBRAS PÚBLICAS,"Calles urbanas: calzada asfáltica rota, hundida o levantada",DIRECCIÓN DE MANTENIMIENTO URBANO,21/01/2022,PROCESO,NO,0,-36.879.627,-60.328.056
1,22,2022,22/01/2022,11583,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio público (veredas),DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,26/01/2022,FINALIZADO,NO,4,-36.887.730,-60.341.736
1,23,2022,23/01/2022,11584,ZOONOSIS,Otra situación no contemplada,ATENCIÓN OLAVARRIA INTERACTIVA,24/01/2022,CANCELADO,NO,1,-36.895.386,-60.339.882
1,24,2022,24/01/2022,11585,HIGIENE Y CONTROL URBANO,Recolección de residuos domiliciarios: no hay recolección,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,25/01/2022,FINALIZADO,NO,1,-36.891.003,-60.322.384
1,24,2022,24/01/2022,11586,HIGIENE Y CONTROL URBANO,Recolección de residuos domiliciarios: no hay recolección,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,31/01/2022,FINALIZADO,NO,7,-36.905.571,-60.327.049
1,24,2022,24/01/2022,11587,ZOONOSIS,Animales domésticos: sanitariamente descuidados,ATENCIÓN OLAVARRIA INTERACTIVA,24/01/2022,CANCELADO,NO,0,-36.908.146,-60.324.478
1,24,2022,24/01/2022,11588,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio privado (baldío abierto),UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,24/01/2022,PROCESO,NO,0,-36.926.712,-60.294.739
1,24,2022,24/01/2022,11589,"PARQUES, PLAZAS Y ESPACIOS PÚBLICOS",Mobiliario: pedido de cesto de basura,DIRECCIÓN DE DESARROLLO URBANO Y OBRAS CIVILES,24/01/2022,PROCESO,NO,0,-36.893.814,-60.328.918
1,24,2022,24/01/2022,11590,ZOONOSIS,Animales domésticos: denunciar mordeduras,DIRECCIÓN DE BROMATOLOGIA,31/01/2022,FINALIZADO,NO,7,-36.906.540,-60.343.456
1,24,2022,24/01/2022,11591,HIGIENE Y CONTROL URBANO,Recolección de residuos domiliciarios: no hay recolección,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,02/02/2022,FINALIZADO,NO,9,-36.900.875,-60.320.286
1,24,2022,24/01/2022,11592,ZOONOSIS,Control de plagas / fumigación: roedores,DIRECCIÓN DE BROMATOLOGIA,14/02/2022,FINALIZADO,NO,21,-36.894.989,-60.296.700
1,24,2022,24/01/2022,11593,ZOONOSIS,Animales domésticos: sueltos en la via pública,DIRECCIÓN DE BROMATOLOGIA,25/01/2022,FINALIZADO,NO,1,-36.920.952,-60.290.825
1,25,2022,25/01/2022,11594,HIGIENE Y CONTROL URBANO,Barrido domiciliario: deficiente,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,26/01/2022,FINALIZADO,NO,1,-36.888.268,-60.325.176
1,25,2022,25/01/2022,11595,ÁRBOLES EN VIA PÚBLICA,Arbolado: pedido de extracción en via pública,DISEÑO DE PARQUES Y ESPACIO PÚBLICO,30/06/2022,FINALIZADO,NO,156,-36.891.556,-60.323.345
1,25,2022,25/01/2022,11596,TRÁNSITO,Otra situación no contemplada,ATENCIÓN OLAVARRIA INTERACTIVA,25/01/2022,CANCELADO,NO,0,-36.889.072,-60.324.886
1,25,2022,25/01/2022,11597,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio privado (baldío abierto),UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,03/02/2022,FINALIZADO,NO,9,-36.868.435,-60.157.494
1,25,2022,25/01/2022,11598,ZOONOSIS,Control de plagas / fumigación: roedores,DIRECCIÓN DE BROMATOLOGIA,18/02/2022,FINALIZADO,NO,24,-36.868.435,-60.157.494
1,25,2022,25/01/2022,11599,HIGIENE Y CONTROL URBANO,Recolección de residuos domiliciarios: no hay recolección,ATENCIÓN OLAVARRIA INTERACTIVA,25/01/2022,CANCELADO,NO,0,-36.920.219,-60.292.339
1,25,2022,25/01/2022,11600,OBRAS PÚBLICAS,Calles urbanas: Pedido de camión regador,DIRECCIÓN DE MANTENIMIENTO URBANO,25/01/2022,PROCESO,NO,0,-36.883.987,-60.341.000
1,25,2022,25/01/2022,11601,CONTROL AMBIENTAL,Olores y humos: en una industria,DIRECCIÓN DE DESARROLLO SUSTENTABLE,25/01/2022,PROCESO,NO,0,-36.883.987,-60.341.000
1,25,2022,25/01/2022,11602,HIGIENE Y CONTROL URBANO,Recolección de residuos domiliciarios: no hay recolección,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,31/01/2022,FINALIZADO,NO,6,-36.944.550,-60.272.408
1,25,2022,25/01/2022,11603,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio privado (baldío abierto),UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,25/01/2022,PROCESO,NO,0,-36.921.886,-60.309.898
1,25,2022,25/01/2022,11604,HABILITACIONES,Higiene y limpieza comercial,DIRECCIÓN DE BROMATOLOGIA,04/02/2022,FINALIZADO,NO,10,-36.900.986,-60.333.305
1,25,2022,25/01/2022,11605,HIGIENE Y CONTROL URBANO,Cestos públicos: recolección deficiente,ATENCIÓN OLAVARRIA INTERACTIVA,26/01/2022,CANCELADO,NO,1,-36.906.834,-60.321.419
1,26,2022,26/01/2022,11606,TRÁNSITO,Estacionamiento: vehículos abandonados,DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,27/01/2022,FINALIZADO,NO,1,-36.885.117,-60.329.849
